rawID	subjID	choice	effort	reward	trial
91	1001	1	2	25	1
91	1001	0	10	20	2
91	1001	1	4	15	3
91	1001	0	10	25	4
91	1001	0	10	5	5
91	1001	1	2	5	6
91	1001	1	8	15	7
91	1001	1	8	25	8
91	1001	1	8	20	9
91	1001	1	4	10	10
91	1001	1	4	25	11
91	1001	0	10	10	12
91	1001	1	4	20	13
91	1001	1	2	10	14
91	1001	1	6	5	15
91	1001	1	6	25	16
91	1001	1	2	15	17
91	1001	1	6	15	18
91	1001	0	4	5	19
91	1001	1	6	10	20
91	1001	1	6	20	21
91	1001	1	2	20	22
91	1001	0	10	15	23
91	1001	1	8	10	24
91	1001	0	8	5	25
91	1001	0	10	20	26
91	1001	1	2	10	27
91	1001	0	8	5	28
91	1001	0	10	15	29
91	1001	1	4	10	30
91	1001	1	6	20	31
91	1001	1	6	15	32
91	1001	1	8	25	33
91	1001	0	10	5	34
91	1001	1	10	25	35
91	1001	1	8	10	36
91	1001	1	4	20	37
91	1001	1	6	10	38
91	1001	1	8	15	39
91	1001	1	2	5	40
91	1001	1	2	15	41
91	1001	1	2	25	42
91	1001	1	4	5	43
91	1001	1	8	20	44
91	1001	0	6	5	45
91	1001	1	2	20	46
91	1001	0	10	10	47
91	1001	1	4	25	48
91	1001	1	4	15	49
91	1001	1	6	25	50
92	1002	1	2	15	1
92	1002	1	6	20	2
92	1002	1	4	5	3
92	1002	1	2	20	4
92	1002	1	10	25	5
92	1002	1	4	25	6
92	1002	1	8	25	7
92	1002	1	10	20	8
92	1002	1	2	5	9
92	1002	1	2	10	10
92	1002	0	8	20	11
92	1002	1	4	15	12
92	1002	1	2	25	13
92	1002	1	8	10	14
92	1002	1	8	15	15
92	1002	1	6	5	16
92	1002	1	6	25	17
92	1002	1	4	20	18
92	1002	1	10	5	19
92	1002	1	6	15	20
92	1002	1	6	10	21
92	1002	1	10	10	22
92	1002	1	4	10	23
92	1002	1	8	5	24
92	1002	1	10	15	25
92	1002	1	6	15	26
92	1002	1	10	10	27
92	1002	1	10	15	28
92	1002	1	4	20	29
92	1002	1	10	5	30
92	1002	1	2	10	31
92	1002	1	8	15	32
92	1002	1	10	20	33
92	1002	1	10	25	34
92	1002	1	8	10	35
92	1002	1	6	5	36
92	1002	1	6	20	37
92	1002	1	4	5	38
92	1002	1	8	25	39
92	1002	1	6	10	40
92	1002	1	4	10	41
92	1002	1	2	25	42
92	1002	1	2	15	43
92	1002	1	4	25	44
92	1002	1	8	20	45
92	1002	1	4	15	46
92	1002	1	6	25	47
92	1002	1	2	20	48
92	1002	1	8	5	49
92	1002	1	2	5	50
95	1003	1	8	15	1
95	1003	0	8	10	2
95	1003	0	6	5	3
95	1003	1	2	5	4
95	1003	1	10	15	5
95	1003	1	6	10	6
95	1003	0	10	10	7
95	1003	1	2	20	8
95	1003	1	4	5	9
95	1003	1	2	25	10
95	1003	1	8	25	11
95	1003	1	10	20	12
95	1003	1	4	20	13
95	1003	1	2	10	14
95	1003	0	10	5	15
95	1003	1	10	25	16
95	1003	1	6	25	17
95	1003	1	8	5	18
95	1003	1	8	20	19
95	1003	1	2	15	20
95	1003	1	6	20	21
95	1003	1	4	25	22
95	1003	1	6	15	23
95	1003	1	4	15	24
95	1003	1	4	10	25
95	1003	1	6	10	26
95	1003	1	6	5	27
95	1003	1	4	25	28
95	1003	1	4	20	29
95	1003	1	10	15	30
95	1003	1	10	5	31
95	1003	1	8	25	32
95	1003	1	6	25	33
95	1003	1	8	15	34
95	1003	1	2	10	35
95	1003	1	2	5	36
95	1003	1	10	25	37
95	1003	1	10	10	38
95	1003	1	4	10	39
95	1003	1	4	5	40
95	1003	1	2	15	41
95	1003	1	4	15	42
95	1003	1	10	20	43
95	1003	1	8	20	44
95	1003	1	8	10	45
95	1003	1	6	15	46
95	1003	1	6	20	47
95	1003	1	8	5	48
95	1003	1	2	20	49
95	1003	1	2	25	50
911	1004	1	4	5	1
911	1004	1	4	25	2
911	1004	0	10	15	3
911	1004	1	4	15	4
911	1004	1	6	20	5
911	1004	1	2	10	6
911	1004	1	2	25	7
911	1004	0	10	10	8
911	1004	1	8	10	9
911	1004	1	6	15	10
911	1004	1	2	5	11
911	1004	1	4	10	12
911	1004	0	10	25	13
911	1004	1	8	5	14
911	1004	1	8	15	15
911	1004	0	10	5	16
911	1004	1	4	20	17
911	1004	1	6	25	18
911	1004	0	10	20	19
911	1004	1	6	10	20
911	1004	1	2	15	21
911	1004	1	6	5	22
911	1004	1	8	25	23
911	1004	1	2	20	24
911	1004	1	8	20	25
911	1004	1	2	20	26
911	1004	1	6	20	27
911	1004	1	4	25	28
911	1004	1	2	25	29
