rawID	subjID	rt	choice	effort	reward	group	framework	group_framework	trials
3	1002	0.911	1	2	-25	PA	loss	loss1	49
3	1002	4.157	1	8	-20	PA	loss	loss1	50
7	1003	4.439	1	2	-10	PA	loss	loss1	1
7	1003	1.144	1	4	-15	PA	loss	loss1	2
7	1003	1.305	1	4	-10	PA	loss	loss1	3
7	1003	1.04	1	2	-20	PA	loss	loss1	4
7	1003	2.919	1	10	-25	PA	loss	loss1	5
7	1003	4.163	0	6	-5	PA	loss	loss1	6
7	1003	1.055	1	6	-10	PA	loss	loss1	7
7	1003	1.618	1	4	-20	PA	loss	loss1	8
7	1003	1.606	1	6	-15	PA	loss	loss1	9
7	1003	1.109	1	4	-25	PA	loss	loss1	10
7	1003	0.955	0	10	-5	PA	loss	loss1	11
7	1003	4.048	0	8	-10	PA	loss	loss1	12
7	1003	1.133	1	2	-5	PA	loss	loss1	13
7	1003	2.402	1	10	-20	PA	loss	loss1	14
7	1003	1.902	1	8	-15	PA	loss	loss1	15
7	1003	1.663	0	4	-5	PA	loss	loss1	16
7	1003	1.695	1	8	-25	PA	loss	loss1	17
7	1003	1.968	1	8	-20	PA	loss	loss1	18
7	1003	1.394	0	8	-5	PA	loss	loss1	19
7	1003	1.038	0	10	-10	PA	loss	loss1	20
7	1003	4.739	1	10	-15	PA	loss	loss1	21
7	1003	1.245	1	2	-15	PA	loss	loss1	22
7	1003	1.075	1	6	-20	PA	loss	loss1	23
7	1003	1.254	1	6	-25	PA	loss	loss1	24
7	1003	0.902	1	2	-25	PA	loss	loss1	25
7	1003	0.943	1	2	-15	PA	loss	loss1	26
7	1003	1.709	1	10	-20	PA	loss	loss1	27
7	1003	2.831	1	4	-25	PA	loss	loss1	28
7	1003	1.676	0	10	-15	PA	loss	loss1	29
7	1003	1.7	1	8	-20	PA	loss	loss1	30
7	1003	2.655	1	10	-25	PA	loss	loss1	31
7	1003	1.382	0	10	-10	PA	loss	loss1	32
7	1003	1.38	0	8	-5	PA	loss	loss1	33
7	1003	1.241	1	4	-10	PA	loss	loss1	34
7	1003	2.401	1	4	-5	PA	loss	loss1	35
7	1003	1.337	1	4	-20	PA	loss	loss1	36
7	1003	1.725	1	6	-25	PA	loss	loss1	37
7	1003	1.511	0	6	-10	PA	loss	loss1	38
7	1003	1.162	0	8	-10	PA	loss	loss1	39
7	1003	1.077	1	4	-15	PA	loss	loss1	40
7	1003	1.383	1	2	-10	PA	loss	loss1	41
7	1003	1.296	1	8	-15	PA	loss	loss1	42
7	1003	0.978	0	10	-5	PA	loss	loss1	43
7	1003	0.829	1	2	-20	PA	loss	loss1	44
7	1003	0.925	1	2	-25	PA	loss	loss1	45
7	1003	1.249	1	6	-20	PA	loss	loss1	46
7	1003	2.456	1	2	-5	PA	loss	loss1	47
7	1003	2.765	1	8	-25	PA	loss	loss1	48
7	1003	1.353	0	6	-5	PA	loss	loss1	49
7	1003	2.586	1	6	-15	PA	loss	loss1	50
9	1004	12.02	1	2	-25	PA	loss	loss1	1
9	1004	4.909	0	4	-5	PA	loss	loss1	2
9	1004	2.443	1	4	-20	PA	loss	loss1	3
9	1004	1.426	1	10	-20	PA	loss	loss1	4
9	1004	1.643	1	6	-20	PA	loss	loss1	5
9	1004	1.627	1	4	-15	PA	loss	loss1	6
9	1004	3.524	1	8	-15	PA	loss	loss1	7
9	1004	2.264	0	8	-5	PA	loss	loss1	8
9	1004	1.279	1	4	-25	PA	loss	loss1	9
9	1004	2.11	1	6	-5	PA	loss	loss1	10
9	1004	1.898	1	8	-20	PA	loss	loss1	11
9	1004	2.424	1	8	-25	PA	loss	loss1	12
9	1004	1.473	1	8	-10	PA	loss	loss1	13
9	1004	2.032	1	6	-25	PA	loss	loss1	14
9	1004	0.992	1	2	-5	PA	loss	loss1	15
9	1004	0.074	1	10	-25	PA	loss	loss1	16
9	1004	1.265	1	2	-15	PA	loss	loss1	17
9	1004	2.632	0	10	-5	PA	loss	loss1	18
9	1004	1.681	0	10	-15	PA	loss	loss1	19
9	1004	1.343	1	2	-10	PA	loss	loss1	20
9	1004	1.187	1	6	-10	PA	loss	loss1	21
9	1004	0.982	1	2	-20	PA	loss	loss1	22
9	1004	2.953	1	10	-10	PA	loss	loss1	23
9	1004	1.525	1	4	-10	PA	loss	loss1	24
9	1004	2.137	1	6	-15	PA	loss	loss1	25
9	1004	1.255	1	4	-15	PA	loss	loss1	26
9	1004	1.927	1	6	-20	PA	loss	loss1	27
9	1004	1.356	1	2	-20	PA	loss	loss1	28
9	1004	1.423	1	8	-15	PA	loss	loss1	29
9	1004	0.016	1	8	-10	PA	loss	loss1	30
9	1004	1.241	1	4	-10	PA	loss	loss1	31
9	1004	1.481	1	6	-5	PA	loss	loss1	32
9	1004	1.776	0	10	-5	PA	loss	loss1	33
9	1004	1.371	1	4	-20	PA	loss	loss1	34
9	1004	1.878	1	2	-10	PA	loss	loss1	35
9	1004	1.757	1	2	-15	PA	loss	loss1	36
9	1004	3.073	1	10	-15	PA	loss	loss1	37
9	1004	4.415	1	10	-10	PA	loss	loss1	38
9	1004	2.617	1	8	-25	PA	loss	loss1	39
9	1004	0.85	1	2	-25	PA	loss	loss1	40
9	1004	2.722	0	8	-20	PA	loss	loss1	41
9	1004	2.208	1	6	-10	PA	loss	loss1	42
9	1004	1.273	1	6	-25	PA	loss	loss1	43
9	1004	1.104	1	6	-15	PA	loss	loss1	44
9	1004	1.622	1	10	-25	PA	loss	loss1	45
9	1004	2.319	1	10	-20	PA	loss	loss1	46
9	1004	1.501	1	2	-5	PA	loss	loss1	47
9	1004	0.851	1	8	-5	PA	loss	loss1	48
9	1004	0.939	1	4	-5	PA	loss	loss1	49
9	1004	0.992	1	4	-25	PA	loss	loss1	50
12	1005	2.371	1	8	-25	PA	loss	loss1	1
12	1005	1.838	0	8	-5	PA	loss	loss1	2
12	1005	1.302	1	4	-5	PA	loss	loss1	3
12	1005	1.276	1	2	-20	PA	loss	loss1	4
12	1005	2.027	1	6	-5	PA	loss	loss1	5
12	1005	1.571	1	8	-15	PA	loss	loss1	6
12	1005	1.302	1	10	-10	PA	loss	loss1	7
12	1005	1.14	1	8	-10	PA	loss	loss1	8
12	1005	1.16	1	2	-10	PA	loss	loss1	9
12	1005	2.451	1	4	-10	PA	loss	loss1	10
12	1005	0.963	1	6	-25	PA	loss	loss1	11
12	1005	0.782	1	2	-5	PA	loss	loss1	12
12	1005	1.001	1	6	-10	PA	loss	loss1	13
12	1005	0.762	1	4	-15	PA	loss	loss1	14
12	1005	0.773	1	8	-20	PA	loss	loss1	15
12	1005	0.647	1	6	-15	PA	loss	loss1	16
12	1005	0.807	1	4	-20	PA	loss	loss1	17
12	1005	1.104	1	10	-20	PA	loss	loss1	18
12	1005	0.669	1	10	-15	PA	loss	loss1	19
12	1005	0.708	1	2	-15	PA	loss	loss1	20
12	1005	1.105	1	4	-25	PA	loss	loss1	21
12	1005	0.559	1	10	-25	PA	loss	loss1	22
12	1005	0.883	1	2	-25	PA	loss	loss1	23
12	1005	1.961	0	10	-5	PA	loss	loss1	24
12	1005	1.843	1	6	-20	PA	loss	loss1	25
12	1005	1.124	1	4	-10	PA	loss	loss1	26
12	1005	1.768	1	4	-20	PA	loss	loss1	27
12	1005	1.612	1	10	-15	PA	loss	loss1	28
12	1005	1.045	1	4	-15	PA	loss	loss1	29
12	1005	0.853	1	2	-25	PA	loss	loss1	30
12	1005	1.061	1	8	-20	PA	loss	loss1	31
12	1005	0.909	1	10	-20	PA	loss	loss1	32
12	1005	1.394	0	10	-10	PA	loss	loss1	33
12	1005	1.156	1	6	-25	PA	loss	loss1	34
12	1005	0.808	1	2	-15	PA	loss	loss1	35
12	1005	0.681	1	10	-25	PA	loss	loss1	36
12	1005	1.08	0	8	-5	PA	loss	loss1	37
12	1005	1.551	1	6	-5	PA	loss	loss1	38
12	1005	1.251	1	8	-15	PA	loss	loss1	39
12	1005	1.387	1	8	-10	PA	loss	loss1	40
12	1005	1.302	1	6	-10	PA	loss	loss1	41
12	1005	0.956	1	4	-5	PA	loss	loss1	42
12	1005	1.111	1	2	-5	PA	loss	loss1	43
12	1005	0.981	1	8	-25	PA	loss	loss1	44
12	1005	1.256	1	6	-20	PA	loss	loss1	45
12	1005	0.983	0	10	-5	PA	loss	loss1	46
12	1005	1.098	1	6	-15	PA	loss	loss1	47
12	1005	0.912	1	4	-25	PA	loss	loss1	48
12	1005	1.421	1	2	-20	PA	loss	loss1	49
12	1005	0.679	1	2	-10	PA	loss	loss1	50
13	1006	13.697	1	8	-10	PA	loss	loss1	1
13	1006	1.399	1	10	-15	PA	loss	loss1	2
13	1006	0.913	1	2	-15	PA	loss	loss1	3
13	1006	0.55	1	6	-10	PA	loss	loss1	4
13	1006	0.794	1	2	-20	PA	loss	loss1	5
13	1006	0.749	1	8	-20	PA	loss	loss1	6
13	1006	0.897	1	10	-25	PA	loss	loss1	7
13	1006	1.127	1	6	-20	PA	loss	loss1	8
13	1006	0.828	1	4	-20	PA	loss	loss1	9
13	1006	0.98	1	8	-15	PA	loss	loss1	10
13	1006	0.943	1	6	-15	PA	loss	loss1	11
13	1006	0.715	1	4	-10	PA	loss	loss1	12
13	1006	1.225	1	10	-10	PA	loss	loss1	13
13	1006	1.481	1	10	-5	PA	loss	loss1	14
13	1006	0.896	1	2	-25	PA	loss	loss1	15
13	1006	1.198	1	6	-5	PA	loss	loss1	16
13	1006	0.848	1	10	-20	PA	loss	loss1	17
13	1006	1.105	1	8	-5	PA	loss	loss1	18
13	1006	2.031	1	8	-25	PA	loss	loss1	19
13	1006	0.815	1	4	-25	PA	loss	loss1	20
13	1006	0.793	1	6	-25	PA	loss	loss1	21
13	1006	1.179	1	4	-5	PA	loss	loss1	22
13	1006	0.87	1	2	-10	PA	loss	loss1	23
13	1006	0.661	1	4	-15	PA	loss	loss1	24
13	1006	0.957	1	2	-5	PA	loss	loss1	25
13	1006	0.862	1	2	-10	PA	loss	loss1	26
13	1006	0.942	1	2	-20	PA	loss	loss1	27
13	1006	1.034	1	4	-15	PA	loss	loss1	28
13	1006	0.938	1	8	-15	PA	loss	loss1	29
13	1006	0.855	1	4	-25	PA	loss	loss1	30
13	1006	0.959	1	10	-25	PA	loss	loss1	31
13	1006	0.963	1	8	-10	PA	loss	loss1	32
13	1006	0.734	1	6	-5	PA	loss	loss1	33
13	1006	0.739	1	6	-10	PA	loss	loss1	34
13	1006	0.664	1	8	-5	PA	loss	loss1	35
13	1006	0.903	1	2	-25	PA	loss	loss1	36
13	1006	0.765	1	6	-25	PA	loss	loss1	37
13	1006	0.721	1	10	-10	PA	loss	loss1	38
13	1006	0.598	1	6	-20	PA	loss	loss1	39
13	1006	0.68	1	10	-5	PA	loss	loss1	40
13	1006	0.583	1	4	-20	PA	loss	loss1	41
13	1006	2.93	1	8	-25	PA	loss	loss1	42
13	1006	0.711	1	10	-20	PA	loss	loss1	43
13	1006	0.468	1	4	-5	PA	loss	loss1	44
13	1006	0.604	1	2	-5	PA	loss	loss1	45
13	1006	0.87	1	4	-10	PA	loss	loss1	46
13	1006	0.565	1	8	-20	PA	loss	loss1	47
13	1006	1.265	1	2	-15	PA	loss	loss1	48
13	1006	0.888	1	6	-15	PA	loss	loss1	49
13	1006	0.743	1	10	-15	PA	loss	loss1	50
18	1007	5.72	1	2	-25	PA	loss	loss1	1
18	1007	2.39	1	2	-5	PA	loss	loss1	2
18	1007	0.848	1	4	-25	PA	loss	loss1	3
18	1007	2.135	1	10	-25	PA	loss	loss1	4
18	1007	1.86	1	8	-25	PA	loss	loss1	5
18	1007	1.268	1	6	-15	PA	loss	loss1	6
18	1007	2.291	0	8	-5	PA	loss	loss1	7
18	1007	4.873	1	10	-10	PA	loss	loss1	8
18	1007	1.616	1	4	-20	PA	loss	loss1	9
18	1007	1.545	1	4	-15	PA	loss	loss1	10
18	1007	1.773	1	8	-15	PA	loss	loss1	11
18	1007	1.784	1	2	-20	PA	loss	loss1	12
18	1007	1.683	1	4	-5	PA	loss	loss1	13
18	1007	1.826	1	10	-20	PA	loss	loss1	14
18	1007	1.979	1	8	-20	PA	loss	loss1	15
18	1007	1.557	0	10	-5	PA	loss	loss1	16
18	1007	1.265	1	6	-25	PA	loss	loss1	17
18	1007	2.176	1	6	-10	PA	loss	loss1	18
18	1007	1.739	1	10	-15	PA	loss	loss1	19
18	1007	2.759	1	6	-20	PA	loss	loss1	20
18	1007	1.587	1	2	-10	PA	loss	loss1	21
18	1007	2.078	1	8	-10	PA	loss	loss1	22
18	1007	1.924	1	6	-5	PA	loss	loss1	23
18	1007	1.001	1	4	-10	PA	loss	loss1	24
18	1007	0.867	1	2	-15	PA	loss	loss1	25
18	1007	2.119	1	8	-15	PA	loss	loss1	26
18	1007	1.101	1	4	-10	PA	loss	loss1	27
18	1007	1.067	1	6	-20	PA	loss	loss1	28
18	1007	0.955	1	4	-20	PA	loss	loss1	29
18	1007	0.935	1	8	-20	PA	loss	loss1	30
18	1007	0.979	1	6	-15	PA	loss	loss1	31
18	1007	5.014	1	10	-20	PA	loss	loss1	32
18	1007	1.776	1	4	-25	PA	loss	loss1	33
18	1007	0.859	1	2	-10	PA	loss	loss1	34
18	1007	0.97	1	2	-15	PA	loss	loss1	35
18	1007	0.877	1	2	-20	PA	loss	loss1	36
18	1007	0.988	1	4	-5	PA	loss	loss1	37
18	1007	0.863	1	2	-25	PA	loss	loss1	38
18	1007	2.919	0	10	-10	PA	loss	loss1	39
18	1007	1.94	0	10	-5	PA	loss	loss1	40
18	1007	2.089	0	8	-5	PA	loss	loss1	41
18	1007	2.352	1	6	-25	PA	loss	loss1	42
18	1007	1.228	1	4	-15	PA	loss	loss1	43
18	1007	1.012	1	8	-25	PA	loss	loss1	44
18	1007	1.565	1	6	-10	PA	loss	loss1	45
18	1007	2.889	1	10	-15	PA	loss	loss1	46
18	1007	2.095	1	10	-25	PA	loss	loss1	47
